Timestamp,Column 2,Full name,Please enter the date today,"Share a win from the last week (what went well, something you enjoyed)",Share a loss (something that was challenging or did not go well),"Share a blocker, if any (anything that stopped you from doing what you needed to do)",Anything else you would like to share or ask
8/27/2025 13:55:57,,Student 138,8/27/2025,I enjoyed exploring the powerful applications of AI and its ethical considerations surrounding them,"Everything went smooth, I completed all my assignments on time without any major challenges","Balancing sessions, lectures, and assessments was a challenge, but I managed to handle it well","I'm just happy to be part of this powerful program. I'm gaining valuable life skills, from communication to harnessing the power of AI, and even learning how to be my own CFO "
8/27/2025 14:00:26,,Student 139,8/27/2025,"Last week, I deepened my knowledge of AI and also learned about AI ethics which is something I hadn’t paid much attention to before. I also enjoyed the AI courses because DataCamp structures their lessons in a way that keeps you engaged...I also enjoyed building my app using replit","Everything went well, except I struggled a bit to get AI to cooperate with my image creation instructions.",there were no blockers,nothing for now
8/27/2025 14:12:18,,Student 140,8/27/2025,My time management was good.,,"The power in my area keeps needing to be repaired, and this interrupts my workflow.",
8/27/2025 14:43:32,,Student 141,8/27/2025,"Leanerd about Financial classes for an investment vehicle, the portion to invest, weekely spending concept and snow balling concept for debt elimination. The course was great and very insightful.",Filling the sheets and the plans would have been great if it was interactive with other class members and more examples. One will get use to it and be more inspired to use these tools more often.,N/A,"The course is fast paced, also when you not earning a consistent income most of the calculations becomes speculative."
8/27/2025 14:49:43,,Student 142,8/27/2025,Completing everything required and starting to keep ahead of deadlines,Something still challenging is time management,None,None
8/27/2025 16:32:00,,Student 143,8/27/2025,After doing the odyssey plan I did an odyssey plan budget which I get to experience how much funds I'm going to need for most of my pan to workout,,,
8/27/2025 17:41:29,,Student 144,8/27/2025,"I had a really tough week, nothing major... But I'm content and full of gratitude",Wanted to take content for the AWS Summit... but social anxiety and sickness got the best of me,"I got really sick last week, it was hard to cope with anything.... But this week is a different one and I'm UP!!!",Nothing at all
8/27/2025 19:10:11,,Student 145,1/19/1996,I created a sushi crafter app with the assistance of AI.,It toke me longer than I had planned to complete my course work on datacamp.,"My graduation was on Saturday, I  had to juggle graduation prep and course work which resulted in not meeting the deadline i set.",
8/27/2025 19:19:43,,Student 146,8/27/2025,Finished on time.,,,
8/27/2025 20:01:45,,Student 147,10/13/1995,I just got my certificate  of completion today. I so happy i have manage to do it on time,"I still have last week work to complete and it give me stress, but I am trying to finish everything this week",The network on my side is very slow. Sometimes I can go a whole day with no connection,"I have outstanding work to complete, does that can effect my peformance?
"
8/27/2025 21:08:03,,Student 148,12/7/1995,Completed tasks on time without interruption,None,I had no electricity the whole day I had to travel to charge so that I write my quiz on the phone,None. I joy the concepts I’m learning
8/27/2025 22:32:58,,Student 149,8/27/2025,"i am enjoying this worthy me course, it has completely changed my way of thing and the way i see money.",we currently have loadshedding in my area and thats affecting my work becouse i have to go and do my assignments out in public(mall) since i do not have any other relatives around,"loadshedding, both my phone and laptop were off, as a result i missed a session",n/a
8/27/2025 22:37:39,,Student 150,8/27/2025,"I am enjoying the Wealth Me course, I keep learning new things. Even some that I knew but did not really realize how much they are affecting my financial health. I think by the end of this course I will definitely be and thinking like a wealthy me",None,None,
8/28/2025 9:30:00,,Student 151,8/27/2025,I was able to attend almost all sessions,I am struggling with completing and submitting tasks,not really knowing where to find my tasks,
8/28/2025 9:37:37,,Student 152,8/28/2025,Learned a little bit more about finance and AI,,,
8/30/2025 17:00:42,,Student 153,8/30/2025,I managed to catch up on my activities,I couldn't manage my time better,Family responsibilities,
8/31/2025 11:34:45,,Student 154,8/21/2025,I did almost all my assigned tasks on time,I failed to do one task because I attended the lesson late and I didn't see the playlist,I waited long in the lobby for someone to let me in to the meeting,No
9/1/2025 14:52:12,,Student 155,12/20/1999,wealty me course,could not finish in time due to some unforeseen circumstances,Exam anxiety,N/A
9/3/2025 13:29:27,,Student 156,9/3/2025,"It has been great seeing everyone's elevator pitch, got to learn a lot about everyone's goals.",,Been having microphone issues so haven't been able to fully participate this week.,Enjoyed the LinkedIn profile reviews with Yincee!
9/3/2025 16:03:47,,Student 157,9/3/2025,Finally managed to fix my laptop,Had to sell my smartphone and downgrade,I have issues with internet but I am covered now for at least a month,
9/3/2025 18:35:13,,Student 158,10/13/1995,I am Happy able to complete and get certificates on wealthy way,I missed some activities but i manage to complete some,network in my area is very bad.,how bad it is to miss some activities
9/4/2025 20:34:22,,Student 159,9/4/2025,I was able able to attend all classes and I learned a lot.,I could not complete the online courses,Cause I don't own a laptop or pc,
9/5/2025 9:20:42,,Student 160,9/5/2025,"I enjoyed working on polishing and strengthening my LinkedIn profile, I also enjoyed doing the elevator pitch video.",Everything went well,There were no blockers.,Nothing for now.
9/5/2025 13:40:13,,Student 161,9/5/2025,"The CV writing session and content really stood out for me, it was very helpful. Through Hiration, I managed to improve my CV and the process was made easier by the AI feature in the platform.",,,This was so helpful in many ways. My job hunting journey is about to get better!
9/5/2025 16:01:29,,Student 162,1/12/1998,Wrote 2 data science exams on DataCamp,Fell behind on some tasks,"Nothing, I just wish to bring more of my best to finish work on time",No
9/8/2025 10:52:58,,Student 163,9/8/2025,Having completed my tasks and understanding the importance of finances,trying t6o figure out how to grow the little money I do have,"Having headaches stopped me from doing what i wanted too do
",I'd really would love to hold onto these lessons close to me and that they make a life lasting difference
9/11/2025 17:45:34,,Student 164,1/10/1994,I had an interview,I didn't have a loss,"The blocker is that I hadn't received the data money or completing block 1 yet, so doing my work was chalenging",
9/11/2025 18:12:10,,Student 165,9/11/2025,Everything is fine so far.,,,
9/11/2025 19:46:33,,Student 166,9/11/2025,"Finally finishing the project that we were given, although it was challenging but i managed to pull through.",I don't have a loss,No blocker,When can we expect the next stipend for data?
9/11/2025 20:52:38,,Student 167,9/11/2025,Nothing,I recieved rejection emails,,"I am grateful to have the opportunity to upskill myself at umuzi, it gives me hope that eventually something will come up especially if I use all the resources available to me by umuzi"
9/11/2025 22:14:12,,Student 168,9/11/2025,,,,
9/12/2025 0:41:32,,Student 169,9/11/2025,Managed to finish a project I was working on.,Losta place to stay,Finances,Nothing
9/12/2025 9:03:51,,Student 170,9/12/2025,Nothing this week,Nothing much this week,Nothing  thus far,Nothing  much this week
9/12/2025 9:20:57,,Student 171,9/12/2025,I managed to complete the data cleaning and exploratory analysis of the Umuzi applicant dataset and even generated a full Jupyter Notebook. It felt rewarding to put my data science skills into practice and create something that can be reused.,"I struggled with merging and aligning some datasets, it slowed me down and reminded me how messy real-world data can be. It was frustrating not to get all the score-based insights I initially planned.","The blocker is the absence of aptitude test score columns in the extract. Without them, was difficult to test results and acceptance outcomes.","I’d like to ask if there would be opportunities to questions, technical assessments, job applications alongside project work we can apply or work on."
9/12/2025 11:41:58,,Student 172,9/12/2025,I have been working on the Customer Centricity course and find it quite interesting.,Everything has been going well for now.,Working from home was a bit more challenging this week. It was quite distracting and noisy .,Not at the moment.
9/12/2025 17:26:20,,Student 173,9/12/2025,I successfully started my new coursera course and completed the peer review.,Keeping track of all the Classroom activities.,I'd say poor time management.,No.
9/14/2025 9:09:54,,Student 174,9/14/2025,I was able to complete some of my task without too much of help,my Daughter got sick,"I needed to stay with my Daughter at the hospital, which blocked me to finish my umuzi gigs on time",
9/14/2025 19:13:16,,Student 175,9/14/2025,I have done Design thinking,Network blocked me from attending some meetings,"Network on my side is giving me problems, I end up not fully attending some meetings",I'm enjoying  my time with my team and being part of Umuzi work space.
9/15/2025 23:15:46,,Student 176,8/11/1995,Just submitting,Not doing well with my gig because i was sick,Sickness,
9/19/2025 10:33:43,,Student 177,9/19/2025,I was able to plan my budget for this month.,"However, it was challenging to apply some the knowledge since I do not have money.",Preparing for my stat tests,N/A
9/19/2025 10:36:47,,Student 178,9/19/2025,I was able to dive a bit into agents which I had not done before.,"However, I felt overwhelmed with too many tasks.",Balancing these tasks with my classes.,N/A
9/19/2025 12:48:24,,Student 179,8/21/2025,I enjoyed learning and seeing that fixing my finances isn't actually difficult. It takes a lot of discipline but it can be done.,N/A,N/A,Not at the moment.
9/29/2025 16:07:39,,Student 180,9/29/2025,None,None,None,No
9/30/2025 16:06:12,,Student 181,9/30/2025,I enjoyed learning about my communication style,"Nothing was a loss
 Nothing was a loss",I could participate in Thursday meeting because of slow network,No
9/30/2025 16:52:18,,Student 182,9/30/2025,I successfully managed to complete my assigned tasks.,,"Had some issues with internet data, but resolved now.",
9/30/2025 18:39:07,,Student 183,9/30/2025,"I was able to share my work in class, and it went well.",My internet was interrupted during one of my learning sessions due to heavy rain.,I underestimated the amount of work required for this week by not reading the material over the weekend.,"I submitted one of my assignments late, what will happen?"
10/1/2025 5:26:19,,Student 184,10/1/2025,I was able to get some work done,Really struggling with my schedule and umuzi classes,Time.. there’s a lot to do in a short space and at the same time I have to study for exams,
10/1/2025 12:29:28,,Student 185,10/1/2025,I felt confident with my understanding of the concepts we covered. I also enjoyed collaborating with peer.,"I struggled a bit with one of Coursera course, Developing An Entrepreneurial Mindset: First Step Towards Success,. It took longer than expected to complete it.","I sometimes find it challenging to balance time between assignments and engagement projects, which slightly slows my progress on complex exercises.","I would appreciate any tips or resources for improving Python optimization techniques and best practices for writing cleaner, more efficient code."
10/1/2025 15:25:49,,Student 186,10/1/2025,I have submitted most of my assessments in time,some of work i did not submit the in time,procastinating,great and lovely week i had
10/1/2025 16:15:43,,Student 187,10/1/2025,"I don't remember having any work assigned from Umuzi last week, but the biggest highlight from last week was getting 73% on my Anthropology assignment. ","Actually, catching the Monday.com assignment late. I've experienced issues that have delayed me by two whole days, which is VERY uncharacteristic.","Terrible network issues both at home, as well as at my aunt's house. ",This year has been a true learning experience for me. I've learned a lot about how I manage time on my own (still learning) and how to advocate for myself when experiencing mental health issues. I also learned that I'm braver than I give myself credit for
10/2/2025 16:35:29,,Student 188,10/2/2025,Completed my project deliverables ahead of schedule,Struggled with time management and missed one internal check-in.,Coursera doesn't allow me to sign in,None
10/3/2025 2:30:32,,Student 189,10/2/2025,,,,
10/3/2025 15:55:28,,Student 190,10/3/2025,I managed to complete all my onboarding documents and activities for the week in time,Had connectivity issues which affected my ability to engage with everyone in the class,delayed submitting before classes because of a test i am writing on the 4th,With the data science certification on data camp do we get to do them through Umuzi?
10/3/2025 20:53:06,,Student 191,10/3/2025,Gained access to Datacamp and have close to unlimited learning resources for Data,,Not having enough data to do more and more training on my skills,So far I’m enjoying the journey and the fact that we’re now getting to the skills part
10/3/2025 21:34:44,,Student 192,10/3/2025,"I enjoyed having to draft the Odyssey plan, cause it forced us to think and regroup about what we want in life and what our dreams and goals are for us and people around us",So far nothing. I enjoyed learning about myself and my peers and exploring my future,None,"I'm enjoying the experience so far, hopefully i get to carry gaining more"
10/3/2025 22:04:59,,Student 193,10/3/2025,"I enjoyed activities about 10-year Odyssey Plan slide deck because  it The Odyssey Plan offers several benefits, including clarifying your values and goals, exploring possibilities, reducing pressure to make one ""right"" choice, increasing self-awareness, and creating a flexible plan that can be revisited and revised as you grow and change. By using this tool, you'll gain insight into what's truly important to you and can make more informed decisions about your life path.","Being able to fully be present during classes was a huge challenge for me because programs timetable clash with my Academic timetable (university), so trying to find balance and be able to manage activities and attendance was but challenging ",,"I got an invitation to Data Camp team, which is quite exciting."
10/3/2025 22:44:33,,Student 194,3/25/1999,I really enjoyed designing my life. It gave me a sense of direction. Also learning more about my peers and where they are in life gave me reassurance that I shouldn't be rushing. I can take life as it comes while enjoying all the small wins.,"I tried doing the Odessey plan the way I thought I could understand better but it was not the case with Dr. Zulfah. The reason I used pictures that I only could understand was because I plan to print it out and use it as a reminder but i dont want people knowing my plans. To them it will be pictures, to me it's a plan.",There were no blockers. I am really enjoying my time here and Yincee is the icing on the cake.,No. Thank you.
10/4/2025 0:21:14,,Student 195,10/4/2025,I enjoyed doing the oddysey plan even though I failed it.,Class attendance,There isn't enough hours in a day.,
10/4/2025 8:41:29,,Student 196,10/4/2025,"From last week tasks I got 10/10 all of them, that's give me motivation to push more and be committed to meet strictly deadlines",After all my effort watching videos and completing every exercise after each video then got completion of certificate but I wasn't able to submit my certificate yesterday,Data,None
10/4/2025 8:54:36,,Student 197,10/4/2025,"Last week tasks I got 10/10 Grade score, that's motivated me to push more and ensure I meet strictly deadlines, also excel more to my tasks ",After all my effort watching videos and doing each exercises each  after video then got completion of certificate but I wasn't able to submit my certificates yesterday on classroom,My issue is Data,None
10/4/2025 9:18:13,,Student 198,4/10/2025,"One win from last week: I spent time using ‘Design Your Life’, and it was a game-changer. It reminded me that not everything is black and white, helped me reframe challenges into opportunities, and unlocked new solutions I hadn’t seen before. It’s empowering to move away from being stuck on problems and start thinking creatively about success.",No significant losses this week—I’m impressed with how things are going.,None this week; everything went smoothly.,I’m curious about how progress is defined in the cohorts and what kind of after-service or ongoing support is offered for previous cohorts.
10/4/2025 13:34:06,,Student 199,10/4/2025,"I enjoyed making the odyssey plan ,prototype budget and test kitchen .I am halfway through practicing for my learner`s license.",I had a lot of internet connection problems which prevented me to participate when I really wanted to .,"Well I feel like if there`s anything that would be  preventing me from doing anything ,it would be me but so far nothing .",Nothing
10/4/2025 13:45:22,,Student 200,10/4/2025,I completed a data science project I have been working on for 2 weeks.,"For almost the rest of last week, I was experiencing bad reception, so I couldn't really participate in the sessions. However, I have since upgraded my router and everything has been fine.",Bad reception (network issues),N/A
10/4/2025 17:45:04,,Student 201,10/3/2025,I completed most of my work so far.,I feel my work could be off higher quality and I wasn't too time conscious.,Procrastination,Nothing at the moment but maybe next time.
10/4/2025 21:57:27,,Student 202,10/4/2025,"creating a budget, and the kitchen recipe activity.",What challenged me was the odessy plan. i didn't have an idea how to start since i never really plan ahead to that point.,Thus far I managed to complete all my assigned work.,I only submitted late the odessy plan since it needed creativity and I wasn't sure if I can my own slides or use the provided template.
10/4/2025 23:04:49,,Student 203,10/4/2025,"I achieved high marks on all my assignments which made me feel very motivated me. However beyond academics, I have made new friends and felt incredibly welcoming and supportive.",I couldn’t attend some Google meetings this week.,I couldn’t attend some Google meetings this week.,"Thank you so much for this experience, I am really learning a lot. "
10/5/2025 1:00:23,,Student 204,10/5/2025,I enjoyed the Kitchen test activity.,"I did not understand how to do my Odyssey plan, and I did not execute it to the best of my ability.
","My blocker is my unstable connection, which leads me to submit my work later.",I am enjoying the experience and learning from my fellow explorers.
10/5/2025 3:30:07,,Student 205,10/5/2025,"Making the Odyssey Plans and the 5 lives, it got me really thinking about the life I want to have.",Nothing so far.,Nothing so far.,N/A
10/5/2025 4:30:45,,Student 206,10/5/2025,"I enjoyed making my odyssey plan ,prototype and most importantly my test kitchen .I found some kind of direction for my life and I am even 75% through my learners license practice which is something I highlighted that I will do in my test kitchen.",I didn`t have good internet connection and that prevented me from participating when I really wanted to in meetings,"If there is anything that would stop me from doing what I need to do ,that thing would be me but so far there`s nothing .",Nothing
10/5/2025 7:15:56,,Student 207,10/5/2025,"A win for me this week was taking time to reflect on my goals and map out small, realistic steps I can take towards them. It felt good to apply the Design Your Life approach and see how small adjustments in my daily routine can align with the bigger picture of where I want to be.",A challenge for me this week was sticking to the plans I designed for my routine. I noticed I got a bit overwhelmed and didn’t manage my time as well as I hoped. It showed me that I still need to refine how I design my days to make them more realistic.,A blocker for me was struggling to priorities tasks I sometimes spent too much time on one thing and it stopped me from completing others. I’m realizing I need to adjust how I plan my time blocks.,I’m enjoying applying the Design Your Life ideas and I can already see how they help me think differently about my goals. I’d like to learn more practical strategies for managing my time and energy better so I can follow through on my plans.
10/5/2025 7:32:05,,Student 208,10/5/2025,I got 10/10 to all my assignments and I got an email from Datacamp which congratulate me for earning 7850 XP on first week of Datacamp learning. That's motivated me to keep pushing more.,After all my effort watching videos and doing each exercises for each Datacamp but on 03 October I wasn't able to submit my certificate via classroom classwork,Data,None for now
10/5/2025 8:10:49,,Student 209,10/5/2025,I enjoyed having to know myself more and understanding why I wanted to pursue most of my visions,Difficulty in finding balance for both Umuzi and academics,Network problems,Do we get to do the data science certification on data camp through Umuzi
10/5/2025 8:20:44,,Student 210,10/5/2025,I passed most of my assignments.,I failed one assignment,"Financial constraints, I didn't have enough data to join the sessions.",I would like to say thank you for the opportunity.
10/5/2025 8:39:41,,Student 211,6/8/2007,I have Finally managed to get a good internet connection.,I missed my assignments due to loadshedding,Loadshedding,N/A
10/5/2025 11:29:12,,Student 212,5/10/2025,I managed to improve my marks after having a bad start.,The first activity that we were given puzzled me but I managed to finish even though my marks are not pleasing.,There was nothing that stopped me from completing tasks but mismanagement of time nearly made it hard but i was able to plan my time,
10/5/2025 13:39:22,,Student 213,10/5/2025,I Managed to complete my assignments for the week,I struggled with my WIFI connection on Thursday and was not able to actively participate in the online activities.,I had Wi-Fi connection issues.,"So far, I am really enjoying the learning experience."
10/5/2025 15:21:38,,Student 214,10/5/2025,"Managed to submit everything on time, and learned about AI","some of my marks are a bit low, I will need to improve.",N/A,nothing at the moment.
10/5/2025 16:19:26,,Student 215,10/5/2025,Creating my Odyssey Plan for the first time in my life.,Failing to submit my symbol.,Writing and preparing for my tests.,No thank you.
10/5/2025 16:36:35,,Student 216,10/5/2025,"I completed all my work and submitted everything on time. I felt very productive, organised and proud of my self.","My main challenge last week was staying focused when things got repetitive. I got everything done, but it took extra effort to stay motivated through the routine tasks.",My main blocker was balancing all my work I had to do. It slowed me down but I got everything done.,I’d like to keep improving my focus and time management.
10/5/2025 17:04:51,,Student 217,12/26/2005,I finished all of my assessments on time,I could not attend some of my classes,I was sick,N/A
10/5/2025 18:51:16,,Student 218,10/4/2025,I completed a data science project I have been working on for the past 3 weeks.,"Poor reception was a hindrance last week. I could not attend and participate in some of the sessions. It was really challenging. However, I got to upgrade my router.",Poor reception (Network issues),N/A
10/5/2025 19:21:58,,Student 219,10/5/2025,"I enjoyed creating my oddesy plan, it made me realize just how much work i have to put in to garantee success",Nothing,There was no blocker,No
10/5/2025 19:23:29,,Student 220,11/20/1994,Engagement and commitment,Time mama,I have two classes in a same time,What am I expected to do to improve my time management
10/5/2025 19:38:41,,Student 221,10/5/2025,I enjoyed doing the 5 Lives activity because it helped me think about different paths for my future.,"I found it hard to choose which ideas to focus on in my Odyssey plans, and turning some of my ideas into clear prototypes was a bit challenging.",,
10/5/2025 19:38:44,,Student 222,10/5/2025,Last week I managed to stay consistent with my studies despite feeling overwhelmed. I’m proud that I didn’t give up and kept pushing through.,"I struggled with balancing my workload. It felt like there was too much to do at once, and I couldn’t give my best to everything.",My biggest blocker right now is financial stress — not having enough money adds pressure and sometimes makes it harder to focus fully on my studies.,"I’d like advice on how to manage my workload better while staying motivated, even when I feel financially strained."
10/5/2025 19:46:47,,Student 223,10/5/2025,Going to the doctor's after procrastinating so long,,Getting flu and being sick for over a week,
10/5/2025 20:27:20,,Student 224,10/5/2025,Scoring over 7000 points on the data camp courses,late submission on my Odyssey plan,Poor planning and time management,The week's sessions were very informative
10/5/2025 20:44:56,,Student 225,10/5/2025,Learning about AI from data champ and the test kitchen,Not being able to attend every meeting,Other school obligations,
10/5/2025 20:56:37,,Student 226,10/5/2025,Pushed your project to GitHub and improved version control skills.,Struggled with a personal React Native project,Time management and switching between school and assignments,
10/5/2025 21:06:30,,Student 227,10/5/2025,"Last week, I managed to complete the Introduction to Python course on DataCamp. I’m so proud of myself for earning this certificate. It was definitely a win for me!","One challenge I experienced was when I lost my Super Tutor badge after a student falsely marked me absent. It was disappointing because I had worked hard to maintain my performance and reputation on the platform. However, instead of giving up, I focused on delivering great lessons and maintaining professionalism with every student.

Over time, my effort paid off. I recently earned my Super Tutor badge back. That moment reminded me that perseverance and integrity always lead to success, even when setbacks happen.","A blocker I faced was struggling to manage my time between teaching and studying. Sometimes my lesson schedule would overlap with my study hours, making it difficult to stay consistent with my coursework. It slowed down my progress for a while, but I’ve been learning to plan better and set clearer boundaries between work and study time.",
10/5/2025 23:05:42,,Student 228,12/26/2005,I finished all my assessments on time,I couldn't attend some of my classes,i was sick,No
10/5/2025 23:20:14,,Student 229,10/5/2025,I passed my semester test,,Last minute unplanned weather change,
10/6/2025 7:49:02,,Student 230,10/6/2025,I landed a job interview,I did not pass an assessment for a role.,I do not have a reliable computer,
10/6/2025 9:20:06,,Student 231,10/6/2025,Being able to work under pressure and finishing all my work activities in time.,I couldn't join other meetings because I was busy at work.,None,When is the Technical Business support begin
10/6/2025 11:08:07,,Student 232,10/6/2025,Discovering what I really want to do and what I really want to achieve in life.,I lost a bit of consistency,Exhaustion,The odyssey plan was such a great idea for people to find their purposes in life.
10/6/2025 11:15:23,,Student 233,10/15/2025,I enjoyed working with my colleagues.,Time management especially since I am currently working and studying.,fatigue,none
10/6/2025 12:38:42,,Student 234,10/6/2025,A win from the past week was designing my 10-year life plan. It was a deeply developmental and productive experience that helped me gain clarity about my long-term goals and the steps I need to take to achieve them,"A challenge I faced this week was struggling to speak up and share my thoughts. I often held back out of fear or hesitation, but I’m actively working on building my confidence to express myself more openly","A blocker I faced was ongoing network issues, which made it difficult to complete some of my online tasks and stay consistent with my work.",For now I`m good
10/6/2025 14:00:59,,Student 235,9/22/2025,my long run training went well.,managing my time between my freelance gig and attending online classes and marathon training.,laziness and procrastination.,"I was thinking of asking to be let go from the program, but this not being able to attend classes and all is just a challenge that I need to take head on, finish off what needs to be done so that i can get to see some progress."
10/6/2025 23:08:55,,Student 236,10/16/2002,Discovering what I really want to do in life and also exploring which other options I have.,I slacked a bit and scored a 65/100 for an activity instead of a 70 and upwards.,exhaustion,"keep on with the odyssey plan activity because that honestly helped me so much in terms of being more intentional about what I really want to become in life, I think this will help many more people to be more serious about their lives."
10/6/2025 23:27:04,,Student 237,10/6/2025,I got to finish most of my assingments.,I lost a lost of time during power outages.,I had/have occasional power outages in my area.,N/a
10/7/2025 0:01:23,,Student 238,10/7/2025,,,,
10/7/2025 0:03:05,,Student 239,10/7/2025,Passing most of my assignments,Failed one and did not manage to submit one on time.,Having too much work.,No
10/7/2025 2:37:29,,Student 240,10/6/2025,nothing,everything,not enough hours in a day,
10/7/2025 15:38:57,,Student 241,10/5/1005,,I attended the best concert of my life.,Fatigue stopped me from my regular gym schedule.,
10/7/2025 15:42:18,,Student 242,10/5/2025,I attended the best concert of my life (In the city) with someone special to me.,Juggling work load and this lead to me giving mediocre work which is not what I usually do.,Fatigue led to me being very tired and missing my regular gym schedule.,
10/7/2025 18:36:23,,Student 243,11/20/1994,I made it to submit my tasks,i could not attend all my class,My time management,no
10/7/2025 22:18:12,,Student 244,10/3/2025,Was able to submit work and study for my exams,Couldn’t submit some work due to studying,Time… there are many classes and we also are studying,
10/8/2025 14:06:52,,Student 245,10/8/2025,I got a voucher to write AZ900 and have been studying for it,"Time management, the more i take on the more creative i have to get with time management",n/a,n/a
10/8/2025 18:03:59,,Student 246,10/8/2025,All went well no complaint. I enjoyed 10 year odyssey plans assessment.,Nothing,Time Management and Multi tasking,None
10/8/2025 18:24:38,,Student 247,9/12/1996,"Last week I improved at writing generative AI prompts. I experimented with style modifiers and repetition, which helped me create better, more accurate outputs. It was rewarding to see how small changes in wording improved results.",None this week.,"No major blockers at the moment, though I’d like more practice examples to sharpen my prompt engineering skills further.",I’m interested in learning more about advanced prompt weighting across different AI tools.
10/9/2025 10:54:30,,Student 248,10/9/2025,I was able to complete most of my of my google classroom tasks.,My coursera account was activated late which applies pressure on me due to submissions.,None,None
10/9/2025 11:07:32,,Student 249,10/9/2025,"Well something that I enjoyed last week was spending some quality time with my friends. We shared laughter, love and just good vibes and for me in all honesty that is a win. Memories are forever and I cherish all those I have created with my loved ones.",Something that was really challenging is time management. I think I got overwhelmed by a lot of tasks that  I took early on thinking I would managed and I later realized that I could not split the time accordingly.,"I think was biggest blocker was procrastination. ""Always leaving something for the next day"". It turns into an infinite loop until you decide to break the cycle.","That will all that is happening, all the good, the bad, and the challenges, I am eternally grateful for everything I would not have it any other way."
10/9/2025 11:24:02,,Student 250,10/9/2025,A win from last week for me was getting my platform app builder from Salesforce. This was a hard journey but I conquered the challenge and rose to the occasion.,A loss was being very behind with my umuzi work as I had little distractions that prevented me from being punctual with the work.,Time is a massive blocker. 24 hours never seems enough these days.,
10/9/2025 11:52:22,,Student 251,10/9/2025,None on my side.,None,None,Nothing really
10/9/2025 11:53:49,,Student 252,10/9/2025,I managed to send my documents and complete my tasks.,"I am too busy, to the point that I miss some due dates.",School,
10/9/2025 12:37:28,,Student 253,10/9/2025,N/A,Our electricity going.,Have no electricity cannot do my work.,N/A
10/9/2025 12:44:51,,Student 254,10/9/2025,"Over the last week, I've had the opportunity to engage in a productive discussion with a group of individuals exploring sustainable development initiatives. The exchange of ideas and perspectives was enlightening, and it was rewarding to contribute to a meaningful conversation about strategies for promoting environmental stewardship and social responsibility.","One notable challenge I encountered was attempting to master a complex statistical analysis technique for a research project. Despite dedicating considerable time and effort, my initial results were inconclusive, and I struggled to interpret the data effectively. This experience highlighted the importance of perseverance and seeking guidance from experts in overcoming methodological hurdles.","A significant blocker I encountered was grappling with a complex problem that required specialized expertise. The challenge lay in accessing relevant resources and connecting with experts who could provide guidance. This experience underscored the importance of building professional networks and seeking mentorship to overcome knowledge gaps and stay focused on objectives.

In more detail, the blocker was related to navigating intricate information landscapes and identifying reliable sources to inform decision-making. The experience highlighted the value of developing effective information-seeking strategies and leveraging collaborative opportunities to drive progress.","Even though I’m finding it hard to manage between Umuzi assignments and my academics sometimes, this has been the best experience "
10/9/2025 21:22:22,,Student 255,10/9/2025,My test went well,I couldn't write my test,I was sick,I pray that my relationship with God is reconciled
10/10/2025 4:47:56,,Student 256,11/20/1994,Engagement and communication,Managing my calendar schedule but I improved,I would set a wrong time by mistake,No
10/10/2025 4:51:32,,Student 257,11/11/1994,Engagement and communication,Missed a class,I was not aware about usage of a calendar,No
10/10/2025 7:42:01,,Student 258,10/10/2025,Last week I managed to finish one of my key tasks ahead of schedule and received positive feedback from my lecturer/manager. It felt great to see my hard work paying off and boosted my confidence.,"I struggled a bit with managing my time — a few deadlines piled up, and I ended up feeling stressed trying to balance everything.","My internet connection was unstable for a couple of days, which made it difficult to attend online meetings and complete some work on time.","I’d like to get better at planning my week more effectively and finding tools or methods to stay organized, especially when multiple deadlines overlap."
10/10/2025 9:52:27,,Student 259,10/10/2025,Doing the Datacamp assessments was enjoyable. Loved the of the creating a children's book,"The submitting on time as it would change in s split second. When it says the submission is tomorrow, then you relax thinking you have time, then next thing it says the submission was yesterday and it wont let you submit, that was stressful as i never want to miss a submission.",As i mentioned above. the due dated shifting and missing submission because of it.,When will we begin with the digital marketing?
10/10/2025 9:58:32,,Student 260,10/5/2025,"A win from the past week was deepening my understanding of how AI systems think and create. I really enjoyed learning about AI acceleration, large language models, and generative AI, especially how tools like ChatGPT process massive amounts of data to produce human-like responses and how similar concepts apply to image generation. Exploring AI ethics also stood out because it reminded me that while AI is powerful, it must be used responsibly and transparently. Overall, I’m proud that I’m not just learning how to use AI tools, but how to think critically, creatively, and ethically about them.","A challenge I faced this week was fully understanding the technical depth behind large language models and AI acceleration. Concepts like how neural networks process data and how GPUs and TPUs enhance performance were sometimes difficult to grasp. I also found it challenging to balance my curiosity about AI’s capabilities with the need to think critically about its ethical use. Although it was tough at times, this experience reminded me that learning AI is a gradual process that requires patience, curiosity, and consistent effort.","A blocker I faced this week was the complexity of some AI concepts, particularly the technical details behind large language models and generative AI. At times, it slowed my progress because I had to spend extra time reviewing foundational concepts and examples to fully understand how these systems work. This made it harder to move quickly through practical exercises and experiments.","One thing I’d like to share is that even though some of the technical concepts felt challenging, I found it really motivating to see how all the pieces of AI  from data fundamentals to generative models and ethics fit together. It makes me more confident in applying AI thoughtfully in real-world projects. I’m also curious about strategies or resources to accelerate understanding of complex AI systems without feeling overwhelmed."
10/10/2025 11:03:42,,Student 261,10/10/2025,I was able to submit my tasks on time.,N/A,N/A,Nothing at the moment.
